api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url
41-151-20920,"0004795","36.29894400000006","-84.54588899999999",Tennessee,Scott,,BRIMSTONE CO #29,Blue Ridge Hydrocarbons Corp.,,,Oil,,,Production Well,https://wellwiki.org/wiki/41-151-20920,https://tdeconline.tn.gov/oilgaswells/
41-151-20921,"0004807","36.387361000000055","-84.47630599999997",Tennessee,Scott,,LAY J D #1,Commerce Oil Company,,,,,,Other / Unknown,https://wellwiki.org/wiki/41-151-20921,https://tdeconline.tn.gov/oilgaswells/
41-151-20922,"0004810","36.307417000000044","-84.55199999999996",Tennessee,Scott,,THE BRIMESTONE COMPANY #30,Blue Ridge Hydrocarbons Corp.,,,Gas,,,Production Well,https://wellwiki.org/wiki/41-151-20922,https://tdeconline.tn.gov/oilgaswells/
41-151-20923,"0004818","36.34719400000006","-84.54238899999996",Tennessee,Scott,,OVERTON #2,Volunteer Drilling Company Inc,,,Shut-in Gas,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-151-20923,https://tdeconline.tn.gov/oilgaswells/
41-165-00010,,"36.63888900000006","-86.36394399999995",Tennessee,Sumner,,BORDERS LEROY #1,"DYE, W. B.",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00010,https://tdeconline.tn.gov/oilgaswells/
41-165-00011,,"36.63450000000006","-86.37719399999997",Tennessee,Sumner,,BROWN ELMORE #1,"JOHNSON, DANA L.",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00011,https://tdeconline.tn.gov/oilgaswells/
41-165-00012,,"36.63744400000007","-86.35966699999994",Tennessee,Sumner,,BROWN J & O #1,BURMERSTER & GLAZIER,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00012,https://tdeconline.tn.gov/oilgaswells/
41-165-00013,,"36.633417000000065","-86.36188899999996",Tennessee,Sumner,,FLEMING GROVER #1,"OGLESBY, M. B. & DUNCAN, WALTER",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00013,https://tdeconline.tn.gov/oilgaswells/
41-165-00014,,"36.64361100000008","-86.36658299999993",Tennessee,Sumner,,SCOTT MARY #1,ALLEN OIL COMPANY,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00014,https://tdeconline.tn.gov/oilgaswells/
41-165-00015,,"36.639917000000025","-86.36411099999998",Tennessee,Sumner,,SCOTT MARY #1,"DYE, W. B.",,,Oil,,,Production Well,https://wellwiki.org/wiki/41-165-00015,https://tdeconline.tn.gov/oilgaswells/
41-165-00016,,"36.64911100000006","-86.36783299999996",Tennessee,Sumner,,TAYLOR EVERETT #1,"HASSELL, SAM ET AL",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00016,https://tdeconline.tn.gov/oilgaswells/
41-165-00017,,"36.63580600000006","-86.33422199999995",Tennessee,Sumner,,LAMB T VETRIES #1,"DYE, W. B.",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00017,https://tdeconline.tn.gov/oilgaswells/
41-165-00018,,"36.62822200000005","-86.36563899999999",Tennessee,Sumner,,MANDRELL CURTIS #1,"JOHNSON, DANA L.",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00018,https://tdeconline.tn.gov/oilgaswells/
41-165-00019,,"36.631139000000076","-86.37380599999995",Tennessee,Sumner,,POTTS LAKE #1,"DYE, W. B.",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00019,https://tdeconline.tn.gov/oilgaswells/
41-165-00020,,"36.60686100000004","-86.38291699999996",Tennessee,Sumner,,PERDUE MOSE #1,"PETERSON, HASSELL & MADDOX",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00020,https://tdeconline.tn.gov/oilgaswells/
41-165-00021,,"36.61397200000005","-86.36869399999995",Tennessee,Sumner,,PURDUE A V #1,"ABBOTT, CARL",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00021,https://tdeconline.tn.gov/oilgaswells/
41-165-00022,,"36.59480600000006","-86.34386099999995",Tennessee,Sumner,,DOUGLAS PAULINE #1,"WHEELER, JOHN T. ET AL",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00022,https://tdeconline.tn.gov/oilgaswells/
41-165-00023,,"36.59927800000003","-86.33511099999998",Tennessee,Sumner,,FLEMING ALVIE #1,"WHEELER, JOHN T. ET AL",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00023,https://tdeconline.tn.gov/oilgaswells/
41-165-00024,,"36.59980600000006","-86.33733299999994",Tennessee,Sumner,,FLEMING ALVIE #2,"WHEELER, JOHN T. ET AL",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00024,https://tdeconline.tn.gov/oilgaswells/
41-165-00025,,"36.59911100000005","-86.34674999999999",Tennessee,Sumner,,PERDUE TOM #1,"WHEELER, JOHN T. ET AL",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00025,https://tdeconline.tn.gov/oilgaswells/
41-165-00026,,"36.64588900000007","-86.32313899999997",Tennessee,Sumner,,CLINE ZEB #1,"OGLESBY, M. B. & DUNCAN, WALTER",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00026,https://tdeconline.tn.gov/oilgaswells/
41-165-00027,,"36.63458300000008","-86.33230599999996",Tennessee,Sumner,,LAMB VETRIES #1,"DYE, W. B.",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00027,https://tdeconline.tn.gov/oilgaswells/
41-165-00028,,"36.63263900000004","-86.30916699999995",Tennessee,Sumner,,CLINE JOHN & TOM #1,PETERSON DRILLING CO,,,Water,,,Other / Unknown,https://wellwiki.org/wiki/41-165-00028,https://tdeconline.tn.gov/oilgaswells/
41-165-00029,,"36.63375000000008","-86.29319399999997",Tennessee,Sumner,,BORDERS ZELMA #1,"OBERMEYER, C. R. ET AL",,,Gas,,,Production Well,https://wellwiki.org/wiki/41-165-00029,https://tdeconline.tn.gov/oilgaswells/
41-165-00030,,"36.616806000000054","-86.29624999999999",Tennessee,Sumner,,GRAVES MRS IVY #1,CALDWELL ET AL,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00030,https://tdeconline.tn.gov/oilgaswells/
41-165-00031,,"36.63566700000007","-86.28811099999996",Tennessee,Sumner,,HARSH & KELLY #1,COLEMAN,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00031,https://tdeconline.tn.gov/oilgaswells/
41-165-00032,,"36.63594400000005","-86.29419399999995",Tennessee,Sumner,,LAW LESLIE #1,CALDWELL ET AL,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00032,https://tdeconline.tn.gov/oilgaswells/
41-165-00033,,"36.64286100000004","-86.28674999999998",Tennessee,Sumner,,LAW VETRIES #1,GRIM DRILLING CO,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00033,https://tdeconline.tn.gov/oilgaswells/
41-165-00034,,"36.63472200000007","-86.29847199999995",Tennessee,Sumner,,TUTTLE L E #1,"HASSELL, SAM ET AL",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-165-00034,https://tdeconline.tn.gov/oilgaswells/
41-133-20740,"0007170","36.287806000000046","-85.43841699999996",Tennessee,Overton,,ARCHIE GILLIAM #1,Screaming Eagle Expl. & Devel,,,Shut-in Gas,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-20740,https://tdeconline.tn.gov/oilgaswells/
41-133-20741,"0007177","36.44372200000004","-85.21908299999996",Tennessee,Overton,,YOUNG HERMAN C #2,"Young, Herman",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-20741,https://tdeconline.tn.gov/oilgaswells/
41-133-20742,"0007178","36.50191700000005","-85.42244399999998",Tennessee,Overton,,MAYNARD DALTON - STAGGS GWENDOLINE #1,"Little, Jimmy",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-20742,https://tdeconline.tn.gov/oilgaswells/
